step,epoch,d_loss,g_loss,g_adv,g_l1
1,1,1.449541449546814,1.107265591621399,0.7549976110458374,0.35226795077323914
2,1,1.2904207706451416,0.9904570579528809,0.8455411195755005,0.14491596817970276
3,1,1.3990894556045532,0.7702547907829285,0.7056548595428467,0.06459994614124298
4,1,1.2850373983383179,1.0206173658370972,0.9787111282348633,0.04190627112984657
5,1,1.343869686126709,0.8941088914871216,0.8663761019706726,0.027732770889997482
6,1,1.3145580291748047,0.8660956621170044,0.8530533313751221,0.013042326085269451
7,1,1.3995435237884521,0.8304275274276733,0.7855310440063477,0.04489646106958389
8,1,1.4763799905776978,0.701249361038208,0.6759289503097534,0.025320421904325485
9,1,1.3986777067184448,0.7390506267547607,0.695574164390564,0.04347645118832588
10,1,1.3642489910125732,0.6798147559165955,0.659105658531189,0.020709089934825897
11,1,1.3657011985778809,0.7830450534820557,0.7693421840667725,0.013702891767024994
12,1,1.3617717027664185,0.7609824538230896,0.7111846208572388,0.049797847867012024
13,1,1.380197525024414,0.6642470955848694,0.6344754695892334,0.029771605506539345
14,1,1.3361902236938477,0.7268551588058472,0.6987829208374023,0.028072236105799675
15,1,1.2727453708648682,0.867820680141449,0.7237634658813477,0.1440572291612625
16,1,1.3732777833938599,0.7945986390113831,0.7551743388175964,0.03942430019378662
17,1,1.3878157138824463,0.9791966676712036,0.8059999942779541,0.1731966733932495
18,1,1.2820160388946533,0.9552362561225891,0.8157005310058594,0.13953574001789093
19,1,1.331563949584961,0.7036036252975464,0.666780948638916,0.036822691559791565
20,1,1.3750765323638916,0.9848403334617615,0.9281097650527954,0.056730568408966064
21,1,1.442055106163025,0.7701348066329956,0.7285804748535156,0.041554324328899384
22,1,1.3601762056350708,0.822144091129303,0.7729316353797913,0.04921243339776993
23,1,1.2692980766296387,0.8466173410415649,0.7364246845245361,0.1101926788687706
24,1,1.4512479305267334,0.8793602585792542,0.8167555928230286,0.0626046434044838
25,1,1.3125624656677246,0.8951279520988464,0.8182590007781982,0.0768689438700676
26,1,1.2511143684387207,0.7204523086547852,0.6938483715057373,0.026603929698467255
27,1,1.347383975982666,0.9187052249908447,0.8976198434829712,0.021085387095808983
28,1,1.1062889099121094,1.1471450328826904,1.0333373546600342,0.11380761861801147
29,1,1.29246985912323,0.7209320664405823,0.6953805685043335,0.025551477447152138
30,1,1.0477912425994873,1.1134121417999268,1.0631526708602905,0.05025944858789444
31,1,1.2121893167495728,0.895829975605011,0.8704320192337036,0.02539796009659767
32,1,1.1862057447433472,0.6911754608154297,0.6703544855117798,0.02082100138068199
33,1,1.80995512008667,0.6607372164726257,0.5860129594802856,0.07472424954175949
34,1,1.2547543048858643,0.920129120349884,0.8989685773849487,0.0211605504155159
35,1,1.5414888858795166,1.2386447191238403,0.9113093614578247,0.327335387468338
36,1,1.243815302848816,0.9767286777496338,0.9409295320510864,0.03579913079738617
37,1,1.297582745552063,0.915619969367981,0.8298671245574951,0.08575287461280823
38,1,1.3518166542053223,1.4015870094299316,1.3145253658294678,0.08706159889698029
39,1,1.527042031288147,0.9212185740470886,0.8486191034317017,0.07259944826364517
40,1,1.2141462564468384,1.0903149843215942,1.050849199295044,0.03946582227945328
41,1,1.2294301986694336,1.0216487646102905,0.8580226898193359,0.163626030087471
42,1,0.9964985847473145,1.0320645570755005,1.0129718780517578,0.019092639908194542
43,1,0.9385697841644287,0.43280038237571716,0.39924168586730957,0.03355869650840759
44,1,1.3117586374282837,1.330945611000061,1.281867504119873,0.04907815530896187
45,1,0.8828262686729431,1.2198182344436646,1.1857209205627441,0.03409735485911369
46,1,0.8193717002868652,1.1995117664337158,1.1796174049377441,0.01989436149597168
47,1,0.9333328008651733,0.6362814903259277,0.568419873714447,0.06786162406206131
48,1,1.6332428455352783,1.3576500415802002,1.3153290748596191,0.04232098534703255
49,1,1.1338627338409424,1.216188669204712,1.1264779567718506,0.0897107720375061
50,1,0.8666466474533081,1.3353080749511719,1.309524416923523,0.025783691555261612
51,1,0.6991223692893982,1.2385718822479248,1.208632469177246,0.029939452186226845
